RBD,Administration,HS_ENROLLED_EST
3871,SLEP,371
3885,Private subsidized,271
3886,Municipal,155
3887,Municipal,189
3907,Private subsidized,244
3909,Municipal,762
3940,Municipal,450
3941,Municipal,155
3960,Private subsidized,168
3961,Municipal,240
3976,Municipal,405
3977,Municipal,261
3998,Municipal,347
4025,Municipal,265
4049,Municipal,776
4102,Municipal,585
4124,Municipal,223
4140,Municipal,1220
4141,Municipal,157
4160,Private subsidized,434
4162,Municipal,1327
4163,Municipal,1074
4164,Municipal,1053
4165,Municipal,832
4166,Municipal,832
4190,Municipal,151
4262,Private subsidized,254
4263,Private subsidized,525
4269,Private subsidized,263
4277,Private subsidized,1019
4285,Fully private,391
4286,Fully private,181
4287,Delegated,607
4288,Municipal,625
4289,Municipal,590
4307,Private subsidized,370
4309,Municipal,321
4324,Municipal,198
4331,Municipal,190
4353,Municipal,378
4382,Private subsidized,172
4404,Municipal,656
4408,Municipal,489
4446,Municipal,330
4451,Municipal,924
4483,Municipal,1103
4505,Municipal,269
4507,Municipal,171
4530,Private subsidized,322
4531,SLEP,478
4533,Delegated,522
4534,Delegated,1097
4535,Delegated,490
4536,Delegated,218
4553,SLEP,413
4555,SLEP,245
4557,SLEP,190
4560,SLEP,187
4562,Municipal,286
4564,SLEP,583
4572,SLEP,161
4574,SLEP,341
4575,SLEP,159
4588,SLEP,326
4617,Municipal,148
4630,Private subsidized,634
4631,Private subsidized,541
4636,Private subsidized,157
4644,Private subsidized,455
4646,Private subsidized,312
4655,Private subsidized,334
4656,Private subsidized,282
4659,Private subsidized,294
4662,Private subsidized,506
4663,Private subsidized,506
4664,Private subsidized,336
4666,Private subsidized,310
4667,Private subsidized,254
4669,Private subsidized,361
4672,Private subsidized,511
4677,Private subsidized,180
4679,Fully private,240
4680,Fully private,190
4686,Fully private,273
4687,Fully private,300
4688,Fully private,268
4689,Fully private,278
4691,Private subsidized,134
4694,Fully private,363
4698,Fully private,216
4700,Delegated,716
4702,Municipal,1068
4703,Municipal,256
4706,Municipal,236
4707,Municipal,485
4708,Municipal,171
4709,Municipal,579
4762,Private subsidized,757
4778,Private subsidized,259
4779,Private subsidized,331
4782,Private subsidized,442
4785,Private subsidized,224
4790,Private subsidized,181
4796,Fully private,185
4798,Fully private,437
4805,Municipal,679
4822,Private subsidized,175
4824,Delegated,427
4825,Municipal,360
4829,Municipal,546
4830,Municipal,273
4865,Private subsidized,254
4868,Private subsidized,177
4870,SLEP,218
4897,SLEP,531
4922,Private subsidized,156
4925,Municipal,520
4948,Municipal,267
4951,Municipal,790
4952,Municipal,158
4958,Municipal,137
4973,Private subsidized,254
4975,Delegated,192
4977,Municipal,945
4982,Municipal,1285
4983,Municipal,357
4984,Municipal,187
5021,Municipal,528
5024,Municipal,609
5026,Municipal,294
5048,Municipal,668
5082,Private subsidized,567
5084,Municipal,1174
5104,Private subsidized,214
5105,Municipal,465
5109,Municipal,258
5122,Private subsidized,359
5126,Municipal,658
5150,Private subsidized,513
5153,Private subsidized,143
5155,Municipal,349
5215,Delegated,606
5216,Municipal,345
5218,Municipal,702
5219,Municipal,961
5264,Private subsidized,326
5265,Private subsidized,151
5266,Fully private,114
5270,Municipal,268
5282,Municipal,830
5315,Private subsidized,508
5323,Municipal,511
5343,Delegated,366
5344,Municipal,616
5393,Municipal,904
5394,Municipal,501
5434,Private subsidized,321
5435,Private subsidized,308
5439,Municipal,368
5440,Municipal,321
5465,Private subsidized,271
5507,Municipal,341
5509,Municipal,226
5565,Municipal,243
5566,Delegated,816
5567,Municipal,241
5568,Municipal,806
5569,Municipal,379
5570,Municipal,2065
5574,Private subsidized,193
5613,Municipal,296
5652,Private subsidized,292
5653,Private subsidized,295
5654,Private subsidized,1036
5655,Private subsidized,873
5656,Private subsidized,1025
5658,Private subsidized,266
5659,Private subsidized,336
5661,Private subsidized,339
5662,Private subsidized,254
5663,Private subsidized,1101
5666,Private subsidized,2057
5669,Private subsidized,129
5670,Private subsidized,264
5713,Private subsidized,253
5808,Fully private,145
5810,Fully private,283
5812,Fully private,237
5813,Private subsidized,289
5814,Private subsidized,421
5816,Private subsidized,291
5823,Municipal,941
5879,Municipal,305
5897,Municipal,215
5921,Private subsidized,493
5957,Municipal,424
5992,Private subsidized,222
6007,Municipal,161
6051,Municipal,364
6052,Municipal,227
6070,Private subsidized,331
6084,Municipal,487
6085,Municipal,606
6087,Municipal,142
6112,Private subsidized,877
6113,Private subsidized,532
6118,Private subsidized,251
6120,Private subsidized,270
6122,Private subsidized,167
6135,Private subsidized,192
6163,Municipal,424
6188,Private subsidized,117
6223,Municipal,438
6252,Private subsidized,682
6253,Private subsidized,778
6269,Municipal,258
6301,Municipal,302
6302,Municipal,540
6336,Private subsidized,303
6348,SLEP,362
6398,SLEP,137
6497,SLEP,715
6500,SLEP,464
6584,Delegated,419
6585,SLEP,744
6643,Private subsidized,386
6644,Private subsidized,350
6708,Municipal,436
6751,Municipal,732
6752,Municipal,753
6753,Municipal,356
6754,Municipal,590
6755,Municipal,470
6766,Municipal,192
6770,Municipal,143
6826,Private subsidized,177
6828,Private subsidized,116
6829,Private subsidized,333
6830,Private subsidized,325
6832,Private subsidized,166
6835,Private subsidized,279
6836,Private subsidized,160
6843,Fully private,246
6844,Fully private,211
6846,Municipal,271
6895,Private subsidized,284
6896,Private subsidized,340
6897,Municipal,516
6929,Municipal,757
6983,Municipal,171
7004,Private subsidized,130
7006,Private subsidized,526
7015,Municipal,238
7031,Municipal,183
7044,Private subsidized,217
7049,Corp. municipal,254
7102,Private subsidized,298
7128,Municipal,235
7129,Municipal,716
7135,Municipal,172
7181,Private subsidized,174
7183,Private subsidized,136
7200,Municipal,900
7236,Municipal,450
7276,Private subsidized,320
7299,Municipal,263
7325,Municipal,1123
7326,Municipal,526
7328,Municipal,411
7329,Municipal,983
7331,Municipal,995
7388,Private subsidized,306
7401,Private subsidized,318
7406,Fully private,451
7414,Fully private,155
7415,Fully private,179
7416,Fully private,211
7435,Fully private,208
7470,Private subsidized,367
7505,Municipal,406
7536,Private subsidized,354
7542,Municipal,185
7572,Private subsidized,156
7578,Delegated,380
7625,Municipal,431
7626,Municipal,578
7627,Municipal,769
7628,Municipal,405
7629,Municipal,602
7639,Municipal,279
7650,Municipal,173
7651,Municipal,140
7699,Private subsidized,1069
7700,Fully private,427
7701,Private subsidized,358
7705,Private subsidized,630
7706,Private subsidized,404
7707,Private subsidized,290
7709,Private subsidized,310
7717,Fully private,176
7720,SLEP,467
7722,SLEP,155
7742,Fully private,286
7743,Private subsidized,533
7744,Private subsidized,348
7772,Municipal,522
7773,Municipal,170
7826,Private subsidized,447
7830,Municipal,200
7907,Private subsidized,363
7941,SLEP,434
7942,Private subsidized,227
7956,SLEP,363
7973,SLEP,520
7989,Private subsidized,163
8001,Corp. municipal,1194
8002,Corp. municipal,862
8044,Corp. municipal,256
8105,Corp. municipal,418
8108,Private subsidized,759
8109,Private subsidized,658
8111,Municipal,184
8162,Corp. municipal,250
8174,Corp. municipal,482
8194,Private subsidized,221
8206,Corp. municipal,342
8255,Corp. municipal,460
8345,SLEP,364
8365,Private subsidized,697
8367,Private subsidized,266
8369,Delegated,192
8375,SLEP,307
8394,SLEP,217
8411,SLEP,303
8421,Private subsidized,291
8424,SLEP,529
8425,SLEP,371
8427,SLEP,345
8429,SLEP,467
8430,SLEP,170
8442,SLEP,251
8454,Private subsidized,456
8455,Private subsidized,298
8457,Private subsidized,266
8458,Private subsidized,265
8463,Fully private,136
8464,Fully private,187
8474,SLEP,327
8485,Municipal,2622
8487,Municipal,1862
8488,Municipal,309
8489,Municipal,355
8490,Municipal,256
8491,Municipal,1146
8492,Municipal,526
8494,Municipal,318
8495,Municipal,199
8496,Municipal,286
8497,Municipal,235
8498,Municipal,230
8499,Municipal,805
8500,Municipal,648
8502,Delegated,623
8503,Municipal,1150
8504,Delegated,719
8505,Delegated,898
8506,Delegated,857
8507,Delegated,1086
8508,Municipal,247
8510,Municipal,253
8511,Delegated,229
8514,Municipal,425
8542,Municipal,155
8553,Municipal,414
8589,Private subsidized,528
8592,Private subsidized,322
8598,Private subsidized,239
8603,Private subsidized,1359
8604,Private subsidized,283
8609,Fully private,398
8611,Private subsidized,341
8613,Private subsidized,137
8614,Private subsidized,316
8616,Private subsidized,638
8617,Private subsidized,779
8618,Private subsidized,135
8625,Private subsidized,540
8627,Private subsidized,590
8629,Private subsidized,314
8632,Private subsidized,463
8634,Private subsidized,272
8636,Private subsidized,541
8639,Private subsidized,227
8643,Private subsidized,408
8644,Private subsidized,489
8645,Private subsidized,515
8649,Private subsidized,153
8650,Private subsidized,309
8652,Private subsidized,174
8658,Private subsidized,249
8663,Private subsidized,376
8666,Private subsidized,149
8675,Private subsidized,229
8676,Private subsidized,241
8680,Private subsidized,254
8681,Private subsidized,329
8682,Private subsidized,358
8697,Private subsidized,317
8724,Private subsidized,127
8740,Private subsidized,156
8748,Fully private,589
8750,Fully private,372
8754,Fully private,280
8756,Private subsidized,651
8757,Fully private,551
8761,Fully private,347
8769,Fully private,186
8791,Private subsidized,296
8811,Private subsidized,712
8812,Delegated,389
8813,Delegated,712
8814,Delegated,249
8815,Corp. municipal,297
8818,Private subsidized,255
8819,Private subsidized,242
8821,Municipal,415
8822,Corp. municipal,229
8825,Municipal,272
8827,Private subsidized,278
8828,Corp. municipal,351
8833,Private subsidized,140
8835,Corp. municipal,206
8841,Private subsidized,268
8846,Fully private,249
8849,Private subsidized,298
8854,Private subsidized,166
8862,Fully private,416
8863,Fully private,295
8867,Fully private,280
8868,Fully private,206
8869,Fully private,330
8870,Fully private,382
8871,Fully private,275
8872,Fully private,215
8873,Fully private,472
8877,Fully private,551
8878,Fully private,270
8880,Fully private,267
8885,Fully private,213
8888,Fully private,574
8892,Fully private,409
8893,Fully private,334
8894,Fully private,177
8900,Fully private,293
8902,Fully private,261
8903,Fully private,128
8904,Fully private,226
8906,Fully private,743
8909,Fully private,322
8917,Fully private,470
8919,Fully private,283
8923,Fully private,580
8925,Corp. municipal,922
8926,Corp. municipal,879
8927,Corp. municipal,1172
8928,Corp. municipal,1562
8930,Corp. municipal,944
8938,Private subsidized,405
8944,Private subsidized,290
8945,Private subsidized,480
8950,Fully private,220
8953,Fully private,218
8954,Private subsidized,314
8966,Fully private,475
8969,Fully private,195
8972,Fully private,445
8978,Fully private,405
8979,Fully private,540
8981,Fully private,172
8984,Fully private,296
8991,Fully private,443
8992,Fully private,225
8995,Fully private,522
8996,Fully private,531
8997,Private subsidized,153
8998,Fully private,123
9003,Fully private,423
9006,Corp. municipal,409
9007,Corp. municipal,230
9008,Corp. municipal,285
9020,Private subsidized,267
9033,Private subsidized,276
9042,Fully private,281
9046,Fully private,558
9051,Fully private,530
9053,Fully private,329
9058,Delegated,824
9060,Delegated,390
9061,Delegated,274
9063,Delegated,899
9064,Delegated,489
9065,Delegated,482
9071,Corp. municipal,480
9072,SLEP,296
9073,Corp. municipal,459
9074,Corp. municipal,1010
9077,Corp. municipal,419
9078,Corp. municipal,301
9082,Corp. municipal,561
9087,Corp. municipal,270
9088,Corp. municipal,341
9100,Corp. municipal,541
9105,Corp. municipal,223
9106,Corp. municipal,580
9140,Private subsidized,182
9147,Private subsidized,141
9150,Private subsidized,216
9158,Private subsidized,356
9159,Private subsidized,257
9164,Private subsidized,558
