mifuturo_row_id,model_name,mifuturo_codigo,COD_INST,TIPO_INST_1,NOMB_INST,AREA_CARRERA_GENERICA,NOMB_CARRERA_TITULO,income_4th_year_raw,employment_1st_year,employment_2nd_year,institution_key,carrera_generica_key
148,institution_plus_carrera_generica,456,456,Centros de Formación Técnica,CFT CEDUC - UCN,Técnico en Prevención y Rehabilitación,Técnico en Intervención y Rehabilitación Psicosocial,,0.358,0.375,456 || CENTROS DE FORMACION TECNICA || CFT CEDUC UCN,TECNICO EN PREVENCION Y REHABILITACION
51,institution_plus_carrera_generica,629,629,Centros de Formación Técnica,CFT PUCV,Técnico en Administración Pública o Municipal,Técnico de Nivel Superior en Administración Pública,,0.613,,629 || CENTROS DE FORMACION TECNICA || CFT PUCV,TECNICO EN ADMINISTRACION PUBLICA O MUNICIPAL
297,institution_plus_carrera_generica,693,693,Insitutos Profesionales,IP PROJAZZ,"Música, Canto o Danza","Intérprete en Jazz y Música Popular, y Composición Musical",,0.296,0.287,693 || INSITUTOS PROFESIONALES || IP PROJAZZ,MUSICA CANTO O DANZA
41,institution_plus_carrera_generica,701,701,Centros de Formación Técnica,CFT MANPOWER,Técnico en Administración de Empresas,Técnico en Administración de Empresas,,0.738,0.745,701 || CENTROS DE FORMACION TECNICA || CFT MANPOWER,TECNICO EN ADMINISTRACION DE EMPRESAS
532,institution_plus_carrera_generica,895,895,Universidades,UNIVERSIDAD DE O'HIGGINS,Administración Pública,Administración Pública,,0.642,,895 || UNIVERSIDADES || UNIVERSIDAD DE O HIGGINS,ADMINISTRACION PUBLICA
726,institution_plus_carrera_generica,895,895,Universidades,UNIVERSIDAD DE O'HIGGINS,Enfermería,Enfermería,,0.686,0.893,895 || UNIVERSIDADES || UNIVERSIDAD DE O HIGGINS,ENFERMERIA
1252,institution_plus_carrera_generica,895,895,Universidades,UNIVERSIDAD DE O'HIGGINS,Pedagogía en Educación Básica,Pedagogía en Educación Básica,,0.938,,895 || UNIVERSIDADES || UNIVERSIDAD DE O HIGGINS,PEDAGOGIA EN EDUCACION BASICA
1306,institution_plus_carrera_generica,895,895,Universidades,UNIVERSIDAD DE O'HIGGINS,Pedagogía en Educación Diferencial,Pedagogía en Educación Especial con mención,,0.967,,895 || UNIVERSIDADES || UNIVERSIDAD DE O HIGGINS,PEDAGOGIA EN EDUCACION DIFERENCIAL
1279,institution_plus_carrera_generica,895,895,Universidades,UNIVERSIDAD DE O'HIGGINS,Pedagogía en Educación de Párvulos,Pedagogía en Educación Parvularia,,0.783,,895 || UNIVERSIDADES || UNIVERSIDAD DE O HIGGINS,PEDAGOGIA EN EDUCACION DE PARVULOS
1394,institution_plus_carrera_generica,895,895,Universidades,UNIVERSIDAD DE O'HIGGINS,"Pedagogía en Lenguaje, Comunicación y/o Castellano",Pedagogía en Lenguaje y Comunicación,,0.855,,895 || UNIVERSIDADES || UNIVERSIDAD DE O HIGGINS,PEDAGOGIA EN LENGUAJE COMUNICACION Y O CASTELLANO
1470,institution_plus_carrera_generica,895,895,Universidades,UNIVERSIDAD DE O'HIGGINS,Psicología,Psicología,,0.588,,895 || UNIVERSIDADES || UNIVERSIDAD DE O HIGGINS,PSICOLOGIA
1645,institution_plus_carrera_generica,895,895,Universidades,UNIVERSIDAD DE O'HIGGINS,Terapia Ocupacional,Terapia Ocupacional,,0.434,,895 || UNIVERSIDADES || UNIVERSIDAD DE O HIGGINS,TERAPIA OCUPACIONAL
2,institution_plus_carrera_generica,902,902,Centros de Formación Técnica,CFT DE LA REGION DE ARICA Y PARINACOTA,Técnico Agropecuario,Técnico de Nivel Superior Agrícola,,0.62,,902 || CENTROS DE FORMACION TECNICA || CFT DE LA REGION DE ARICA Y PARINACOTA,TECNICO AGROPECUARIO
