school_rbd,area_income_va,program_income_full_va,institution_income_va,math_va,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,decomposition_order,program_income_full_component_math_va,program_income_full_component_institution_income_va,program_income_full_component_area_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
255,-0.0944923103156599,-0.101777202087709,-0.051281024020328,-0.215764995014598,143,143,143,137,TRUE,math_area_institution,-0.0259745436679522,0.0102046276870329,-0.0891638762373234,0.0031565034878607,-0.101777288730382,-1.38777878078145e-17
256,0.0108666093036168,0.0254176342989129,0.0419590850309322,-0.0151765172564259,412,412,412,408,TRUE,math_area_institution,-0.0016591916348529,0.0135853734580717,0.0135781077520145,-8.67419189934382e-05,0.0254175476562399,0
257,0.0399656474140787,0.0602260853902012,0.0465756082591271,0.234923781003573,199,199,199,197,TRUE,math_area_institution,0.0286579874162118,0.00484943051173711,0.0250678503248563,0.00165073049472308,0.0602259987475283,0
270,-0.0341846358932639,-0.0243236943108024,0.0094284249710936,0.0544606296021344,40,40,40,40,TRUE,math_area_institution,0.0067822291255554,0.0141770513053651,-0.0438328727401102,-0.00145018864428563,-0.0243237809534754,0
279,0.0976247668234239,0.127085167514812,0.0476237276835678,-0.216709634782009,416,416,416,406,TRUE,math_area_institution,-0.0260890529794828,-0.0101171726971798,0.129986348957592,0.0333049575912097,0.127085080872139,0
280,0.0396961048624256,0.0760519647948826,0.0811666124395537,-0.144137807603614,405,405,405,387,TRUE,math_area_institution,-0.0172918900255104,0.0211172157739946,0.0576369103609282,0.0145896420427973,0.0760518781522097,0
283,-0.0197550108682673,0.0042128806010471,0.052001191138503,-0.140256061108212,410,410,410,401,TRUE,math_area_institution,-0.0168213443910162,0.0279652487900938,-0.0104909961344252,0.00355988569372176,0.00421279395837414,0
284,0.0231682184654414,0.05569742831596,0.0780446361011709,0.0817818525268123,48,48,48,48,TRUE,math_area_institution,0.0100941100511848,0.0236993234476267,0.0191961501909954,0.00270775798348016,0.0556973416732871,0
285,0.016503912527723,0.0353264214233141,0.0363720367909114,-0.0803670378679057,116,116,116,110,TRUE,math_area_institution,-0.00956159199007255,0.00995387929701035,0.0256602855513167,0.00927376192238666,0.0353263347806412,0
286,0.0267278697285735,0.0624690803775225,0.0749038604814294,-0.155502471611912,171,171,171,168,TRUE,math_area_institution,-0.0186695155461188,0.0227232541633326,0.0438350907660284,0.0145801643516074,0.0624689937348496,0
287,0.0150348043068305,0.0434464671010389,0.0833470077898499,-0.175139563721524,598,598,598,585,TRUE,math_area_institution,-0.0210499254923335,0.0299049189703113,0.0322048050627762,0.00238658191761192,0.0434463804583659,0
304,0.0682566255938395,0.102733671639206,0.112978281863178,-0.0962788357320296,380,380,380,375,TRUE,math_area_institution,-0.0114904214565992,0.024706206813167,0.0860531951611458,0.00346460447881941,0.102733584996533,0
320,0.0372032568239784,0.0885088095805185,0.120159365598552,-0.198804132937197,94,94,94,93,TRUE,math_area_institution,-0.0239185465498424,0.0379348922074029,0.0595356208146024,0.0149567564656826,0.0885087229378456,0
329,0.0528903591831893,0.0836295379615656,0.0579345714166849,-0.0875742990873828,89,89,89,88,TRUE,math_area_institution,-0.0104352567972673,0.00728711397586887,0.0677763123883633,0.0190012817519279,0.0836294513188926,0
335,-0.0055468675655989,0.0098111301143672,0.0373672367937473,-0.0733200334579506,66,66,66,65,TRUE,math_area_institution,-0.00870735352671754,0.0172209467984078,-9.50909536515625e-05,0.00139254115365552,0.00981104347169424,0
336,-0.0040102911940367,0.0149290322566213,0.0686036428770237,-0.0598724085817574,328,328,328,325,TRUE,math_area_institution,-0.00707723131567055,0.0292474961475246,0.000490717794349769,-0.00773203701225547,0.0149289456139483,3.46944695195361e-18
337,0.0789771011950574,0.126523964259815,0.121783702982165,0.02023366041732,230,230,230,228,TRUE,math_area_institution,0.00263323306129418,0.0242064815549915,0.0881723438920852,0.0115118191087711,0.126523877617142,0
341,0.0184252583422172,0.034568792280847,0.058462621393356,-0.0625731368487599,243,243,243,237,TRUE,math_area_institution,-0.0074046138218436,0.0181486199134958,0.026307884111489,-0.00248318456496714,0.034568705638174,0
