school_rbd,analysis_sample,outcome,n_students_regression,n_total,controlled_value_added,controlled_value_added_centered_student,controlled_value_added_se,controlled_value_added_resid_sd,controlled_value_added_se_method,eb_tau2,eb_tau,eb_reliability,eb_method,controlled_value_added_eb,controlled_value_added_eb_centered_student
329,All,z_year_math_max,89,561977,0.02118388,-0.10578558,0.098770864,0.60621458,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.860751006753264,stata_normal_normal_weighted_by_n_students_regression,-0.0910550432224889,-0.0860269786311413
335,All,z_year_math_max,66,561977,0.047693431,-0.079276025,0.10775857,0.48464364,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.838533975348035,stata_normal_normal_weighted_by_n_students_regression,-0.0664756406845062,-0.0614475760931586
336,All,z_year_math_max,329,561977,0.051253684,-0.075715773,0.049529098,0.61923426,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.960910458714721,stata_normal_normal_weighted_by_n_students_regression,-0.0727560779911123,-0.0677280133997647
337,All,z_year_math_max,228,561977,0.14599358,0.019024115,0.077573419,0.58452076,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.909265321232078,stata_normal_normal_weighted_by_n_students_regression,0.0172979680627081,0.0223260326540557
341,All,z_year_math_max,237,561977,0.037012435,-0.089957021,0.062083524,0.55573195,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.939923835683143,stata_normal_normal_weighted_by_n_students_regression,-0.0845527484074689,-0.0795246838161214
342,All,z_year_math_max,426,561977,0.27662069,0.14965123,0.046832334,0.69600892,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.964905956256872,stata_normal_normal_weighted_by_n_students_regression,0.144399362581894,0.149427427173242
344,All,z_year_math_max,246,561977,0.081283413,-0.04568604,0.064799286,0.56347764,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.934902601735538,stata_normal_normal_weighted_by_n_students_regression,-0.0427119977455256,-0.037683933154178
350,All,z_year_math_max,208,561977,-0.0039455774,-0.13091503,0.074089892,0.63356847,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.916566806427135,stata_normal_normal_weighted_by_n_students_regression,-0.119992371750308,-0.114964307158961
355,All,z_year_math_max,12,561977,0.2603122,0.13334274,0.18815155,0.55145168,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.630101298441422,stata_normal_normal_weighted_by_n_students_regression,0.0840194353510542,0.0890474999424018
356,All,z_year_math_max,270,561977,-0.10921147,-0.23618093,0.091960296,0.65416592,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.877011916979159,stata_normal_normal_weighted_by_n_students_regression,-0.207133491372832,-0.202105426781485
357,All,z_year_math_max,243,561977,0.36458954,0.2376201,0.081241667,0.82243103,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.901347779560291,stata_normal_normal_weighted_by_n_students_regression,0.214178349828685,0.219206414420033
358,All,z_year_math_max,92,561977,0.047712043,-0.079257414,0.084953487,0.65158945,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.89311283342812,stata_normal_normal_weighted_by_n_students_regression,-0.0707858133889654,-0.0657577487976178
361,All,z_year_math_max,201,561977,0.99597222,0.86900276,0.083581872,0.70383906,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.896181021875732,stata_normal_normal_weighted_by_n_students_regression,0.778783780954462,0.78381184554581
