cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,rho,n_students,mean_log_income_4to,mean_attended_va_eb,sd_log_income_4to,sd_attended_va_eb,n_students_with_income_and_rbd,va_match_rate_among_income_rbd
2019,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.194852625052559,180744,12.7317911297883,-0.00858475033554131,0.494163886537604,0.0554345913209387,181025,0.998447728214335
2020,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.190874085716248,184134,12.7377685167422,-0.00886613265859148,0.494179845560458,0.0550773284501365,184504,0.997994623422798
2017,direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,0.02463341434627,167919,12.602561978006,-0.0125377399162014,0.793429451056782,0.104171264319541,168324,0.997593925999857
2018,direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0263118325570427,181695,12.6586315480728,-0.0121360724489144,0.769111892138787,0.104132169158574,182027,0.998176094755174
2019,direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0310497609775057,182789,12.7323972460833,-0.0113083779111473,0.76042046591896,0.104013458204551,183080,0.998410530915447
2020,direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,0.029726619135128,186244,12.7934393526773,-0.00960023944190847,0.743998148321479,0.102744764870129,186630,0.997931736591116
2013,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0269367077232764,173564,12.684938374948,-0.0158914021271181,0.478687107968528,0.103477828152752,176588,0.982875393571477
2014,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0231303744500387,180653,12.6908102539773,-0.0148766611082864,0.484395662456083,0.103796042610395,183167,0.986274820246005
2015,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0231772774475824,177194,12.7019377311145,-0.0141028279010751,0.48925581003089,0.103787157037886,179019,0.989805551366056
2016,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0208076698119435,177745,12.7049876899728,-0.0132948671285613,0.492288810761755,0.103862035944539,178608,0.995168189554779
2017,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0278683908657629,165460,12.726762642384,-0.0128058700547696,0.500878032501781,0.104259962397572,165848,0.997660508417346
2018,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0272944505021672,179353,12.7298468245538,-0.0123841456392424,0.496509745821914,0.104272978640534,179676,0.998202319731071
