rank,school_rbd_Math,school_rbd_Program income,school_rbd_STEM enrollment,school_rbd_Verbal,school_name_Math,school_name_Program income,school_name_STEM enrollment,school_name_Verbal,comuna_name_Math,comuna_name_Program income,comuna_name_STEM enrollment,comuna_name_Verbal,dependency_detail_label_Math,dependency_detail_label_Program income,dependency_detail_label_STEM enrollment,dependency_detail_label_Verbal,eb_va_Math,eb_va_Program income,eb_va_STEM enrollment,eb_va_Verbal,n_students_regression_Math,n_students_regression_Program income,n_students_regression_STEM enrollment,n_students_regression_Verbal
11,9071,1443,8813,24498,LICEO AUGUSTO D HALMAR,LICEO INDUSTRIAL A-16 OSCAR CORONA BARAHO,LICEO BICENTENARIO TÉCNICO PROFESIONAL IGNACIO DOMEYKO,COLEGIO SAN JOAQUIN,ÑUÑOA,CALERA,RECOLETA,RENCA,Corporacion Municipal,Administracion Delegada,Administracion Delegada,Particular Subvencionado,0.514043822200921,0.135827358608814,0.257026609475294,0.315047845924447,398,308,299,149
12,3530,2123,3641,8815,COLEGIO PARTICULAR SAN JOSE,INSTITUTO TECNOLOGICO MINERO BERNARDO OHIGGINS,INSTITUTO INDUSTRIAL SUPERIOR DE CHILLÁN,COLEGIO SAN FRANCISCO DEL ALBA,SAN JAVIER,RANCAGUA,CHILLÁN,LAS CONDES,Particular Subvencionado,Corporacion Municipal,Administracion Delegada,Corporacion Municipal,0.513220742259731,0.135343927268691,0.252742443268686,0.30983332104915,219,221,153,207
13,25749,125,574,25770,COLEGIO PART. ALICANTE DEL ROSAL,ESCUELA PROFESOR MANUEL CASTRO RAMOS,ESCUELA INDUSTRIAL SALESIANA SAN RAMON,LICEO NACIONAL DE MAIPU,MAIPÚ,IQUIQUE,LA SERENA,MAIPÚ,Particular Subvencionado,Servicio Local de Educacion,Particular Subvencionado,Servicio Local de Educacion,0.484355666831555,0.133046751982771,0.243178479103477,0.303220694517035,679,101,372,833
14,24498,337,10496,20266,COLEGIO SAN JOAQUIN,COLEGIO SANTA TERESITA,ESCUELA INDUSTRIAL LAS NIEVES,LICEO BICENTENARIO DE TEMUCO,RENCA,ANTOFAGASTA,PUENTE ALTO,TEMUCO,Particular Subvencionado,Particular Subvencionado,Particular Subvencionado,Municipal DAEM,0.483419133774148,0.127699241833755,0.234265182544437,0.294626525451395,148,230,421,253
15,4140,9866,12033,17728,LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE SAN NICOLÁS,LICEO COMERCIAL B-72,LICEO BICENTENARIO DE EXCELENCIA INDUSTRIAL METODISTA DE CORONEL,COLEGIO EL BOSQUE,SAN NICOLÁS,ESTACIÓN CENTRAL,CORONEL,ARAUCO,Municipal DAEM,Administracion Delegada,Particular Subvencionado,Particular Subvencionado,0.449504268373252,0.127591132561792,0.2325538492654,0.290779873444084,871,192,269,110
16,5659,10503,4535,5813,ESCUELA Y LICEO MONTESSORI,COLEGIO EDUC.PART. COMP.DE MARIA P. ALTO,LICEO INDUSTRIAL DE CONCEPCION,COLEGIO CENTENARIO DE TEMUCO,TEMUCO,PUENTE ALTO,CONCEPCIÓN,TEMUCO,Particular Subvencionado,Particular Subvencionado,Administracion Delegada,Particular Subvencionado,0.427850684802222,0.126012218019099,0.22921175901409,0.288891575830912,274,250,159,270
17,8815,279,22140,9318,COLEGIO SAN FRANCISCO DEL ALBA,LICEO INDUSTRIAL EULOGIO GORDO MONEO,LICEO BICENTENARIO INGENIERO RICARDO FENNER RUEDI,COLEGIO MAURICIO RUGENDAS,LAS CONDES,ANTOFAGASTA,LA UNIÓN,LA FLORIDA,Corporacion Municipal,Corporacion Municipal,Particular Subvencionado,Particular Subvencionado,0.420124117077791,0.124951362925899,0.228317462536732,0.28189867838972,206,416,180,85
18,22536,429,2123,25749,CENTRO EDUCACIONAL SAN SEBASTIAN DE ANCUD,LICEO CATÓLICO ATACAMA,INSTITUTO TECNOLOGICO MINERO BERNARDO OHIGGINS,COLEGIO PART. ALICANTE DEL ROSAL,ANCUD,COPIAPÓ,RANCAGUA,MAIPÚ,Particular Subvencionado,Particular Subvencionado,Corporacion Municipal,Particular Subvencionado,0.4127120230323,0.124935257830775,0.22806283027816,0.281671691073106,75,502,221,681
19,16477,9377,10453,9100,COLEGIO AQUELARRE,COLEGIO POLIV. VICENTE VALDES,LICEO IND. MUNICIPALIZADO A N_ 116,LICEO REPUBLICA DE SIRIA,TENO,LA FLORIDA,PUENTE ALTO,ÑUÑOA,Particular Subvencionado,Particular Subvencionado,Corporacion Municipal,Corporacion Municipal,0.411782937536724,0.123181145559493,0.224231435051998,0.280483107795247,109,223,210,444
20,16604,12943,1590,2042,INSTITUTO LATINOAMERICANO-EUROPEO DE,COLEGIO TECNICO INDUSTRIAL DON BOSCO,COLEGIO SALESIANO VALPARAISO,INSTITUTO DEL PUERTO DE SAN ANTONIO,TALCA,ANTOFAGASTA,VALPARAÍSO,SAN ANTONIO,Particular Subvencionado,Particular Subvencionado,Particular Subvencionado,Particular Subvencionado,0.402813801599397,0.122825623628798,0.222782769221273,0.27784207971534,62,421,673,324
