school_rbd,exam_taking_va,area_income_va,program_income_full_va,institution_income_va,math_va,exam_taking_n,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,decomposition_order,program_income_full_component_exam_taking_va,program_income_full_component_math_va,program_income_full_component_area_income_va,program_income_full_component_institution_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
218,-0.279982237410837,-0.0126913322554805,-0.0084052741316157,0.0161150879233653,-0.146912354914417,205,71,71,71,71,TRUE,exam_math_area_institution,-0.0365692455738793,0.01096468451627,0.0181053191587367,0.0122816121378206,-0.0131877310132368,-0.00840536077428866,0
219,-0.266167660992724,0.0196485870523477,0.0482653324754306,0.0421418289313717,-0.173629870595053,516,193,193,193,184,TRUE,exam_math_area_institution,-0.0349110284100338,0.00653321323116,0.0565477596885154,0.0127790173737566,0.00731628394935949,0.0482652458327577,0
220,-0.203283881540036,0.0818432230462827,0.106381924218134,0.0574016471998255,-0.232279519031236,807,400,400,400,386,TRUE,exam_math_area_institution,-0.0273628445743573,-0.00620192204283186,0.128541321802752,-0.0004404329220632,0.0118457153119611,0.106381837575461,0
222,-0.36865493559567,-0.0042470791927731,-0.0051045616884551,0.0181864525805907,-0.0358176690680661,81,6,6,6,6,TRUE,exam_math_area_institution,-0.0472129733035103,0.0322758643517754,0.0251125523991913,0.0101085626993188,-0.0253886544779032,-0.00510464833112806,0
227,-0.0390385191993721,,,,,1,,,,,FALSE,,,,,,,,
253,0.033959517723236,0.0132353312247856,0.0239441333987202,0.0350150425653631,-0.173462745555533,219,189,189,189,186,TRUE,exam_math_area_institution,0.00111440038492991,-0.0211685137042347,0.0283392191274342,0.010984219725561,0.00467472122235678,0.0239440467560472,0
254,0.0110720079000497,0.0096880110611191,0.0301019917490609,0.0603991665954938,-0.138206744094613,155,133,133,133,132,TRUE,exam_math_area_institution,-0.00163287614949407,-0.0148905746405228,0.0230230453474259,0.0222602280148969,0.00134208253408197,0.0301019051063879,0
255,-0.0375523206688544,-0.0944923103156599,-0.101777202087709,-0.051281024020328,-0.215764995014598,192,143,143,143,137,TRUE,exam_math_area_institution,-0.00746944281452041,-0.0195593868936101,-0.0874656377951918,0.0103138833332823,0.00240329543965806,-0.101777288730382,0
256,0.0726673678417624,0.0108666093036168,0.0254176342989129,0.0419590850309322,-0.0151765172564259,446,412,412,412,408,TRUE,exam_math_area_institution,0.0057606536973326,-0.006049363737108,0.0102881100922962,0.0135264555573289,0.00189169204639021,0.0254175476562399,0
257,0.0514353689850127,0.0399656474140787,0.0602260853902012,0.0465756082591271,0.234923781003573,216,199,199,199,197,TRUE,exam_math_area_institution,0.00321209456229844,0.0254498942921065,0.0253229964245251,0.00489790121912715,0.00134311224947107,0.0602259987475283,0
