outcome_label,rank,school_rbd,school_name,comuna_name,region_name,dependency_detail_label,dependency_group_label,private_paid,eb_va,original_va,eb_reliability,n_students_regression,n_total,controlled_value_added_se,outcome
Program income,27,2123,INSTITUTO TECNOLOGICO MINERO BERNARDO OHIGGINS,RANCAGUA,LGBO,Corporacion Municipal,Municipal,FALSE,0.135343927268691,0.17622963,0.751987052900978,221,565432,0.043519747,log_program_income_clp_m1
Program income,28,125,ESCUELA PROFESOR MANUEL CASTRO RAMOS,IQUIQUE,TPCA,Servicio Local de Educacion,Servicio Local de Educacion,FALSE,0.133046751982771,0.24670501,0.52785803368912,101,565432,0.071669124,log_program_income_clp_m1
Program income,29,25477,COLEGIO LA MISION,CALERA DE TANGO,RM,Particular Pagado,Particular Pagado,TRUE,0.129675756297311,0.22962585,0.552438784961056,205,565432,0.068208501,log_program_income_clp_m1
Program income,30,25143,COLEGIO SAN FRANCISCO JAVIER DE HUECHURABA,HUECHURABA,RM,Particular Pagado,Particular Pagado,TRUE,0.129400401539998,0.25198355,0.502329893066167,361,565432,0.075427659,log_program_income_clp_m1
STEM enrollment,1,1443,LICEO INDUSTRIAL A-16 OSCAR CORONA BARAHO,CALERA,VALPO,Administracion Delegada,Administracion Delegada,FALSE,0.331197136225802,0.4111532,0.808124086618767,308,565432,0.03027706,stem_enrollment_m1
STEM enrollment,2,1503,ESCUELA INDUSTRIAL SUPERIOR DE VALPARAISO,VALPARAÍSO,VALPO,Administracion Delegada,Administracion Delegada,FALSE,0.318195297321272,0.36095944,0.884478773284631,404,565432,0.02245586,stem_enrollment_m1
STEM enrollment,3,9487,ESCUELA INDUSTRIAL PART. LAUTARO,SAN MIGUEL,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.286944446673809,0.48707265,0.591308328385925,63,565432,0.051657502,stem_enrollment_m1
STEM enrollment,4,1262,LICEO BICENTENARIO GUILLERMO RICHARDS CUEVAS,SAN FELIPE,VALPO,Administracion Delegada,Administracion Delegada,FALSE,0.283490238211405,0.32066855,0.887383266835308,753,565432,0.02213545,stem_enrollment_m1
STEM enrollment,5,1397,ESCUELA PARTICULAR INDUSTRIAL E. BERTELSEN TEMPLE,QUILLOTA,VALPO,Particular Subvencionado,Particular Subvencionado,FALSE,0.281978392416867,0.34905201,0.810893644804833,341,565432,0.030006381,stem_enrollment_m1
STEM enrollment,6,9860,LICEO BICENTENARIO INDUSTRIAL DE ELECTROTECNIA RAMON B,LA CISTERNA,RM,Administracion Delegada,Administracion Delegada,FALSE,0.281218096231324,0.31697014,0.890568942083624,370,565432,0.021781061,stem_enrollment_m1
STEM enrollment,7,4165,LICEO INDUSTRIAL SAMUEL VIVANCO PARADA,LOS ÁNGELES,BBIO,Municipal DAEM,Municipal,FALSE,0.275845869055135,0.36556298,0.757493382753249,169,565432,0.035157248,stem_enrollment_m1
STEM enrollment,8,279,LICEO INDUSTRIAL EULOGIO GORDO MONEO,ANTOFAGASTA,ANTOF,Corporacion Municipal,Municipal,FALSE,0.271027454760671,0.31510124,0.863510165544441,416,565432,0.024703525,stem_enrollment_m1
STEM enrollment,9,7326,LICEO INDUSTRIAL OSORNO,OSORNO,LAGOS,Municipal DAEM,Municipal,FALSE,0.264914345773903,0.38395482,0.69273777961922,115,565432,0.041382112,stem_enrollment_m1
STEM enrollment,10,24482,LICEO POLITECNICO PARTICULAR ANDES,RENCA,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.262210734531432,0.28004685,0.940115555322954,833,565432,0.015682269,stem_enrollment_m1
STEM enrollment,11,8813,LICEO BICENTENARIO TÉCNICO PROFESIONAL IGNACIO DOMEYKO,RECOLETA,RM,Administracion Delegada,Administracion Delegada,FALSE,0.257026609475294,0.29826173,0.865321453257543,299,565432,0.024513368,stem_enrollment_m1
STEM enrollment,12,3641,INSTITUTO INDUSTRIAL SUPERIOR DE CHILLÁN,CHILLÁN,NUBLE,Administracion Delegada,Administracion Delegada,FALSE,0.252742443268686,0.33614439,0.755056809913622,153,565432,0.035390392,stem_enrollment_m1
STEM enrollment,13,574,ESCUELA INDUSTRIAL SALESIANA SAN RAMON,LA SERENA,COQ,Particular Subvencionado,Particular Subvencionado,FALSE,0.243178479103477,0.31612408,0.772621129186991,372,565432,0.033708099,stem_enrollment_m1
STEM enrollment,14,10496,ESCUELA INDUSTRIAL LAS NIEVES,PUENTE ALTO,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.234265182544437,0.26558787,0.886075300081251,421,565432,0.022280049,stem_enrollment_m1
STEM enrollment,15,12033,LICEO BICENTENARIO DE EXCELENCIA INDUSTRIAL METODISTA DE CORONEL,CORONEL,BBIO,Particular Subvencionado,Particular Subvencionado,FALSE,0.2325538492654,0.28854612,0.809643598664223,269,565432,0.030128624,stem_enrollment_m1
STEM enrollment,16,4535,LICEO INDUSTRIAL DE CONCEPCION,CONCEPCIÓN,BBIO,Administracion Delegada,Administracion Delegada,FALSE,0.22921175901409,0.30059242,0.766078608718173,159,565432,0.034335297,stem_enrollment_m1
STEM enrollment,17,22140,LICEO BICENTENARIO INGENIERO RICARDO FENNER RUEDI,LA UNIÓN,RIOS,Particular Subvencionado,Particular Subvencionado,FALSE,0.228317462536732,0.29675889,0.772961269041515,180,565432,0.033675466,stem_enrollment_m1
STEM enrollment,18,2123,INSTITUTO TECNOLOGICO MINERO BERNARDO OHIGGINS,RANCAGUA,LGBO,Corporacion Municipal,Municipal,FALSE,0.22806283027816,0.2879211,0.79580307032589,221,565432,0.031474896,stem_enrollment_m1
STEM enrollment,19,10453,LICEO IND. MUNICIPALIZADO A N_ 116,PUENTE ALTO,RM,Corporacion Municipal,Municipal,FALSE,0.224231435051998,0.27450842,0.82072930073402,210,565432,0.029040039,stem_enrollment_m1
STEM enrollment,20,1590,COLEGIO SALESIANO VALPARAISO,VALPARAÍSO,VALPO,Particular Subvencionado,Particular Subvencionado,FALSE,0.222782769221273,0.25273547,0.885702504532096,673,565432,0.022321168,stem_enrollment_m1
STEM enrollment,21,9579,LICEO INDUSTRIAL DE SAN MIGUEL AGUSTIN ED,SAN JOAQUÍN,RM,Administracion Delegada,Administracion Delegada,FALSE,0.222130319313907,0.26122043,0.854435424763981,266,565432,0.025646655,stem_enrollment_m1
STEM enrollment,22,2103,LICEO BICENTENARIO INDUSTRIAL PRESIDENTE PEDRO AGUIRRE,RANCAGUA,LGBO,Administracion Delegada,Administracion Delegada,FALSE,0.219556761630905,0.2479421,0.889814287407573,521,565432,0.021865301,stem_enrollment_m1
STEM enrollment,23,12062,LICEO MAURICIO HOCHSCHILD,SAN PEDRO DE LA PAZ,BBIO,Particular Subvencionado,Particular Subvencionado,FALSE,0.21944037518296,0.24736239,0.891429132903027,566,565432,0.021684816,stem_enrollment_m1
STEM enrollment,24,705,LICEO BICENTENARIO DE EXCELENCIA  POLITECNICO DE OVALLE,OVALLE,COQ,Municipal DAEM,Municipal,FALSE,0.217948232947908,0.26307714,0.832508285827022,463,565432,0.027870508,stem_enrollment_m1
STEM enrollment,25,12943,COLEGIO TECNICO INDUSTRIAL DON BOSCO,ANTOFAGASTA,ANTOF,Particular Subvencionado,Particular Subvencionado,FALSE,0.215851256540377,0.3168819,0.684535550044609,421,565432,0.042181276,stem_enrollment_m1
STEM enrollment,26,610,LICEO INDUSTRIAL JOSE TOMAS DE URMENETA,COQUIMBO,COQ,Servicio Local de Educacion,Servicio Local de Educacion,FALSE,0.212708279411138,0.31293797,0.683119219572065,107,565432,0.042319663,stem_enrollment_m1
STEM enrollment,27,8454,INSTITUTO DON BOSCO,PUNTA ARENAS,MAG,Particular Subvencionado,Particular Subvencionado,FALSE,0.208020415615374,0.29180861,0.716517874010633,232,565432,0.039083354,stem_enrollment_m1
STEM enrollment,28,1880,COLEGIO INDUSTRIAL ANDRES BELLO LOPEZ,QUILPUÉ,VALPO,Corporacion Municipal,Municipal,FALSE,0.203393874807961,0.28248703,0.723783803920333,126,565432,0.038385097,stem_enrollment_m1
STEM enrollment,29,5567,LICEO BICENTENARIO TECNOLOGICO PEDRO AGUIRRE CERDA,TEMUCO,ARAUC,Municipal DAEM,Municipal,FALSE,0.202703448604446,0.4030214,0.505603714421015,48,565432,0.061443362,stem_enrollment_m1
STEM enrollment,30,6755,LICEO INDUSTRIAL VALDIVIA,VALDIVIA,RIOS,Servicio Local de Educacion,Servicio Local de Educacion,FALSE,0.202674317547474,0.32668078,0.623666882653312,80,565432,0.04826723,stem_enrollment_m1
