cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
2013,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,193870,9693,1100000,13.9108207377686,1113618.07489941,13.9014220690795,0.103135634313374,0.207430399608735,0.0021068969655059
2014,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,201208,10061,1100000,13.9108207377686,1109521.91631051,13.8995560291177,0.0987632518390734,0.204845757729481,0.00204223822081999
2015,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,197501,9875,1100000,13.9108207377686,1163402.53164557,13.9433003220277,0.110580151792764,0.208791638985394,0.00210108949460149
2016,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,198143,9907,1100000,13.9108207377686,1180539.01281922,13.9592360798559,0.113573213534272,0.210438415713757,0.00211423832983997
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,184836,9242,1200000,13.9978321147582,1266684.70028132,14.0267545887386,0.124950589844855,0.210899854943495,0.00219378114212521
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,199313,9966,1100000,13.9108207377686,1177734.29660847,13.959008413849,0.111341795536864,0.205306515867203,0.00205656429477126
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,200799,10040,1100000,13.9108207377686,1169292.82868526,13.951832054209,0.108370310070704,0.205656952740043,0.00205246868677484
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,204536,10227,1100000,13.9108207377686,1167096.90036179,13.9504456898573,0.107849417680243,0.202817571217713,0.0020055405604807
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,187334,9366,150000,11.9183905730784,150000,11.9183905730784,-0.0836227230558536,0.106048441690304,0.00109578970150645
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,201702,10085,150000,11.9183905730784,150000,11.9183905730784,-0.0825413722102734,0.105476423596891,0.00105030986455457
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,202888,10145,150000,11.9183905730784,150000,11.9183905730784,-0.0843346491261622,0.102677658776401,0.00101941244646521
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,206720,10336,150000,11.9183905730784,150000,11.9183905730784,-0.0838735853947383,0.103470633983953,0.00101774941114099
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,187334,9366,250000,12.4292161968444,201105.060858424,12.1796584860669,-0.0730583117013089,0.109258346680593,0.0011289573820033
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,201702,10086,250000,12.4292161968444,250000,12.4292161968444,-0.0729922445173725,0.111640515970128,0.00111163536076361
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,202888,10145,250000,12.4292161968444,250000,12.4292161968444,-0.0757529133051518,0.109174585155561,0.00108391574439399
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,206720,10337,250000,12.4292161968444,250000,12.4292161968444,-0.0783777061456015,0.108513501965483,0.00106730002891785
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,187334,9367,350000,12.7656884334656,345494.822248319,12.7506109625383,-0.0544460423570882,0.116275085001146,0.00120139661939352
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,201702,10085,350000,12.7656884334656,350000,12.7656884334656,-0.0558414299486978,0.116445448691512,0.00115953688295878
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,202888,10145,350000,12.7656884334656,350000,12.7656884334656,-0.0586305641329609,0.115884613449599,0.00115053477759547
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,206720,10337,350000,12.7656884334656,350000,12.7656884334656,-0.0613200126749105,0.115013275275542,0.00113122947655463
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,187334,9366,550000,13.2176735572087,611891.415759129,13.3172079481187,-0.00663140183956853,0.127814190750271,0.00132069337086104
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,201702,10086,550000,13.2176735572087,618790.898274836,13.3282999636322,-0.00876087831329253,0.127075415353806,0.00126532490434577
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,202888,10145,7e+05,13.4588356140255,679736.323311976,13.4262889167926,-0.00709703420687596,0.126797404712142,0.00125888001424466
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,206720,10337,7e+05,13.4588356140255,7e+05,13.4588356140255,-0.00819234711472673,0.127066178088146,0.00124977752161291
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,187334,9366,1500000,14.2209756660724,1499306.00042708,14.2080319623891,0.0944724475331425,0.145449889681259,0.00150292157675849
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,201702,10085,1500000,14.2209756660724,1453197.81854239,14.1770301085304,0.0873649084625683,0.143448504298216,0.00142842707386276
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,202888,10145,1500000,14.2209756660724,1543104.97782159,14.2392775927144,0.0865908376742125,0.146397910175629,0.00145347930161252
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,206720,10337,1500000,14.2209756660724,1582199.86456419,14.2644069828539,0.085861131544822,0.144976287387364,0.00142593495664858
2013,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,193933,9697,250000,12.4292161968444,242234.711766526,12.3919517554125,-0.0859940350874529,0.106023547934095,0.00107667253671591
2014,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,201268,10063,250000,12.4292161968444,241364.404253205,12.387604605489,-0.0867190985047496,0.105159654638701,0.00104829958724498
