school_rbd,area_income_va,program_income_full_va,institution_income_va,math_va,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,program_income_full_component_math_va,program_income_full_component_institution_income_va,program_income_full_component_area_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
366,0.112352018212162,0.173836711461478,0.13847008637061,0.56756177741293,224,224,224,224,TRUE,0.0689803931330019,0.0881298861320934,0.00786438986339102,0.00886195569031875,0.173836624818805,-2.77555756156289e-17
367,0.0154392116725494,0.0304305460256725,0.0325637179488196,-0.0767426256329898,285,285,285,277,TRUE,-0.00912224043613484,0.0348256477124159,-0.0019624773557954,0.0066895294625139,0.0304304593829995,0
371,0.0047308803236161,0.0071898549025816,0.0007637131029632,-0.0285863292872222,4,4,4,4,TRUE,-0.00328473016962159,0.00252513936860216,0.00420566692652803,0.00374369213440005,0.00718976825990864,0
372,-0.0384242231106931,-0.0376855242969145,-0.0131529948184016,-0.104648921233816,182,182,182,174,TRUE,-0.01250504392045,-0.00505952507226936,-0.0224606294290773,0.00233958748220922,-0.0376856109395875,0
373,-0.0183965790800743,-0.0094637994013554,0.0234178920520062,-0.0599518222215249,287,287,287,284,TRUE,-0.00708685784371821,0.0253375407378897,-0.0256984802225317,-0.00201608871566813,-0.00946388604402835,-1.73472347597681e-18
379,-0.0220279572352246,-0.0136002735569007,0.0354633791899757,-0.130018597906194,376,376,376,372,TRUE,-0.0155803582463231,0.0410678122186914,-0.0330861800397037,-0.00600163413223827,-0.0136003601995737,-1.73472347597681e-18
384,0.0170656760186027,0.0420288354929566,0.0307256128739492,-0.103391078418987,291,291,291,285,TRUE,-0.0123525681093431,0.0349435472960858,0.000993035210049095,0.0184447344534918,0.0420287488502837,0
392,0.0241639386948252,0.0284225217283891,0.051774828664463,-0.0990209479053778,220,220,220,220,TRUE,-0.0118228205233571,0.0538795783291247,-0.00399516320414484,-0.00963915951590655,0.0284224350857162,-6.93889390390723e-18
396,0.0089704040229351,0.0345201330024949,0.048109796296589,-0.16349582137014,286,286,286,274,TRUE,-0.0196384700716591,0.0548794476223947,-0.0130636503737998,0.0123427191828861,0.0345200463598219,6.93889390390723e-18
397,-0.0197202737937776,-0.031163252213069,-0.0321843779451709,0.0071587813050037,2,2,2,2,TRUE,0.00104829512288742,-0.0299872432194962,-9.26477814428108e-05,-0.00213174297769037,-0.031163338855742,0
