score_year,outcome,score_scale,n_students,mean,sd,min,p01,p05,p25,median,p75,p95,p99,max,share_gt_850,share_gt_1000
2025,leng_math_total,z_year,171850,-3.162214859978567e-16,0.9999999999999999,-4.077641819700038,-2.677470253225292,-1.3294327344384353,-0.6889287199872215,-0.10800647432216724,0.6293179144065555,1.8358487323262838,2.3720846514017184,2.9157682915754233,0,0
2021,hist_max,raw,810,420.3037037037037,88.17931282335232,205,219,273,360,425,479,560,626.7299999999999,757,0,0
2022,hist_max,raw,79504,498.1094158784464,109.35988114031905,150,240,312,424,497,570,680,754,850,0,0
2023,hist_max,raw,89250,495.08713725490196,120.61363009418434,100,303,335,400,480,565,735,836,1000,0.008526610644257703,0
2024,hist_max,raw,95577,487.6864622241753,125.72990166917741,100,285,327,393,468,564,734,836,1000,0.00985592768134593,0
2025,hist_max,raw,95248,492.54813749370066,135.01266932102592,100,282,327,395,460,572,772,873,1000,0.018635561901562236,0
2021,hist_max,scale1000,810,494.4749455337691,103.74036802747332,241.1764705882353,257.64705882352945,321.1764705882353,423.5294117647059,500,563.5294117647059,658.8235294117648,737.3294117647057,890.5882352941177,0.0012345679012345679,0
2022,hist_max,scale1000,79504,586.0110775040546,128.658683694493,176.47058823529412,282.3529411764706,367.05882352941177,498.8235294117647,584.7058823529412,670.5882352941177,800,887.0588235294118,1000,0.021068122358623466,0
2023,hist_max,scale1000,89250,495.08713725490196,120.61363009418434,100,303,335,400,480,565,735,836,1000,0.008526610644257703,0
2024,hist_max,scale1000,95577,487.6864622241753,125.72990166917741,100,285,327,393,468,564,734,836,1000,0.00985592768134593,0
2025,hist_max,scale1000,95248,492.54813749370066,135.01266932102592,100,282,327,395,460,572,772,873,1000,0.018635561901562236,0
2021,hist_max,z_year,810,-1.6426118010363595e-16,1,-2.441657763142438,-2.2828903657592683,-1.6705018329956143,-0.6838758635430603,0.053258481450227095,0.6656470142138813,1.5842298133593624,2.340983272457855,3.818313905108249,0,0
2022,hist_max,z_year,79504,-1.5897436870940556e-16,0.9999999999999999,-3.1831546655741985,-2.360183763799703,-1.7018070423801068,-0.6776654757274014,-0.010144633176977388,0.6573762093734467,1.6632295337644967,2.3398944974457483,3.2177301260052102,0,0
2023,hist_max,z_year,89250,2.1404292563777125e-17,0.9999999999999999,-3.2756425368044035,-1.5925823400299421,-1.3272723582723915,-0.7883614578273671,-0.12508650343349065,0.579643135610003,1.9891024136969904,2.8264870436192595,4.186200700126706,0,0
2024,hist_max,z_year,95577,-2.5758312816698928e-17,1,-3.0834865618861476,-1.6120784279103888,-1.2780290137104866,-0.7530942199677835,-0.15657740889652977,0.6069641092746749,1.9590688810361832,2.770331744093088,4.074715170968895,0,0
2025,hist_max,z_year,95248,-1.010635307818849e-16,0.9999999999999999,-2.9074911226317632,-1.559469482031131,-1.2261674280364692,-0.7225109908889803,-0.24107469067446877,0.5884770881566894,2.069819550355186,2.817897493765427,3.7585499572614727,0,0
2021,scien_max,raw,715,405.9986013986014,84.81907750267814,203,213.14000000000001,258,348,408,462,539.3,609.1800000000002,697,0,0
2022,scien_max,raw,96566,497.28526603566473,108.30682757546572,150,244,319,423,496,571,675,752,850,0,0
2023,scien_max,raw,110806,501.9643340613324,95.28929279470024,100,348,395,431,487,541,691,818,1000,0.005026803602692995,0
2024,scien_max,raw,115132,477.33419900635795,103.25709796930967,100,322,351,409,452,515,683,824,1000,0.0058194072890247715,0
2025,scien_max,raw,120045,474.7195301761839,113.04163244104082,100,303,337,401,445,521,701,842,1000,0.009196551293265026,0
2021,scien_max,scale1000,715,477.6454134101193,99.78715000315074,238.82352941176472,250.75294117647059,303.5294117647059,409.4117647058824,480,543.5294117647059,634.470588235294,716.6823529411768,820,0,0
2022,scien_max,scale1000,96566,585.0414894537232,127.41979714760674,176.47058823529412,287.05882352941177,375.29411764705884,497.64705882352945,583.5294117647059,671.7647058823529,794.1176470588235,884.7058823529412,1000,0.019437483172130978,0
2023,scien_max,scale1000,110806,501.9643340613324,95.28929279470024,100,348,395,431,487,541,691,818,1000,0.005026803602692995,0
2024,scien_max,scale1000,115132,477.33419900635795,103.25709796930967,100,322,351,409,452,515,683,824,1000,0.0058194072890247715,0
2025,scien_max,scale1000,120045,474.7195301761839,113.04163244104082,100,303,337,401,445,521,701,842,1000,0.009196551293265026,0
2021,scien_max,z_year,715,-1.1322736497185006e-16,0.9999999999999999,-2.393313006642778,-2.2737644298537902,-1.7448739806670073,-0.683791938161201,0.023596090176003125,0.6602453156794869,1.5715968921872512,2.3954681491906507,3.43084842666687,0,0
2022,scien_max,z_year,96566,-6.428401365270378e-17,1,-3.206494676373789,-2.3385900197213454,-1.6461129000518424,-0.6858779607767983,-0.011866897631815403,0.6806102220376876,1.6408451613127317,2.351788337506755,3.256625107208239,0,0
2023,scien_max,z_year,110806,8.288054672574508e-17,1,-4.218357826701057,-1.6157569181780675,-1.1225220685789528,-0.7447251625030349,-0.1570410863849405,0.40965427272893623,1.9838080480452605,3.3165915778130817,5.226564825196888,0,0
2024,scien_max,z_year,115132,-2.7130152878619334e-16,1,-3.65431729563531,-1.5043440311728185,-1.2234916677970875,-0.6617869410456259,-0.2453506781091973,0.36477686991394215,1.991783664642314,3.357307224503626,5.061790533266683,0,0
2025,scien_max,z_year,120045,8.880578479875171e-17,1,-3.314880739816161,-1.5190821865187392,-1.2183080445871513,-0.6521449538923976,-0.26290782903975446,0.4094108411602655,2.0017445337392603,3.2490725929261393,4.646787723078812,0,0
2023,math2_max,raw,80665,431.20992995723054,98.16433630207459,100,270,313,369,413,459,637,807,1000,0.004909192338684683,0
2024,math2_max,raw,77469,408.32880248873744,113.11856290092614,100,246,290,346,381,437,657,810,1000,0.005034271773225419,0
2025,math2_max,raw,77263,417.441634417509,110.7089696999414,100,245,289,344,392,448,656,816,1000,0.005591292080297167,0
2023,math2_max,scale1000,80665,431.20992995723054,98.16433630207459,100,270,313,369,413,459,637,807,1000,0.004909192338684683,0
2024,math2_max,scale1000,77469,408.32880248873744,113.11856290092614,100,246,290,346,381,437,657,810,1000,0.005034271773225419,0
2025,math2_max,scale1000,77263,417.441634417509,110.7089696999414,100,245,289,344,392,448,656,816,1000,0.005591292080297167,0
2023,math2_max,z_year,80665,-2.242171386199365e-16,1,-3.3740352396212434,-1.6422454022523,-1.204204443388391,-0.6337324969609743,-0.18550453905371841,0.28309741694023094,2.096383246655948,3.828173084024891,5.794263899390809,0,0
2024,math2_max,z_year,77469,-5.818873515999457e-17,0.9999999999999999,-2.725713575045896,-1.4350323972106298,-1.0460599874520564,-0.551004193213872,-0.24159432181500679,0.2534614724231775,2.1983235212160444,3.550886673331084,5.230540260924924,0,0
2025,math2_max,z_year,77263,4.3216221241561215e-17,1,-2.8673524401670685,-1.5576121328279355,-1.1601736947388193,-0.6633756471274241,-0.22980644193929742,0.2760242974468504,2.1548241865953996,3.600054870555822,5.2620701571103075,0,0
