school_rbd,highinst_va,highpay_va,income_va,math_va,highinst_n,highpay_n,income_n,math_n,math_va_joint,highinst_va_joint,highpay_va_joint
416,-0.0033032151536823,-0.0010781135882111,-0.0082060586477382,,1,1,1,,,,
419,0.0007464645877829,-0.0195932054120368,-0.0199876259908991,,13,12,13,,,,
420,0.141529793944215,0.0311505589587319,-0.0101653966814199,-0.0428464716588501,273,257,273,120,-0.0161372461509186,0.141515215206381,0.0316268235636955
429,0.299479044837306,0.0212945678128809,0.120182873770547,-0.0527475640154295,544,529,544,499,-0.026038338507498,0.299464466099472,0.0217708324178445
430,0.136761423798709,-0.0193423686604998,0.0124512125945895,-0.165735428632388,224,210,224,143,-0.139026203124456,0.136746845060875,-0.0188661040555362
431,0.329405410073128,0.0210308962987281,0.0825798489515964,-0.0503071054486839,192,182,192,171,-0.0235978799407524,0.329390831335294,0.0215071609036917
433,0.180047791623613,-0.0064230949103495,0.103628491331795,-0.150621386089687,297,287,297,253,-0.123912160581756,0.180033212885779,-0.00594683030538593
437,0.363899403105993,0.088341174402325,0.168258395874578,-0.0235480324164178,1047,1025,1047,884,0.0031611930915137,0.363884824368159,0.0888174390072886
438,0.158413966918211,-0.0213398728548207,-0.0216483355569386,-0.103993507160977,310,297,310,171,-0.0772842816530455,0.158399388180377,-0.0208636082498571
440,0.205956224373504,0.0222331013431153,0.0373121482299495,-0.13086820952892,335,325,335,259,-0.104158984020989,0.20594164563567,0.0227093659480789
441,0.021122929953565,0.0455203860024105,-0.0319821111637621,-0.274361197576676,36,33,36,7,-0.247651972068745,0.0211083512157312,0.0459966506073741
448,0.118200069556415,0.0130509444583716,0.0081203967807494,-0.115699010383534,666,623,666,503,-0.0889897848756025,0.118185490818581,0.0135272090633352
449,0.249163076276528,0.120170220709274,0.0154423109020234,-0.13347425919662,502,488,502,261,-0.106765033688689,0.249148497538694,0.120646485314238
478,0.141383426577112,-0.0026617402469182,0.0169681903811255,-0.0363539269671,328,308,328,314,-0.0096447014591685,0.141368847839278,-0.00218547564195463
479,0.050958815854233,0.0042764925373277,0.0289840681472455,-0.0755643559853091,486,456,486,451,-0.0488551304773776,0.0509442371163992,0.00475275714229127
486,0.144009848063956,0.0833019880906113,0.0172069103532365,-0.22596487340535,324,297,324,197,-0.199255647897418,0.143995269326122,0.0837782526955749
487,0.0199987865290242,-0.0089801791764186,-0.0421215891243347,,6,6,6,,,,
516,-0.0219288749679284,-0.0043693680702231,-0.0228682314476965,-0.173757468365202,293,279,293,197,-0.147048242857271,-0.0219434537057622,-0.00389310346525953
517,0.0218261100539765,0.0405657847787539,0.0566117815881324,-0.147970490765171,608,558,608,517,-0.12126126525724,0.0218115313161427,0.0410420493837175
518,0.0141287318929996,-0.0348161202506132,-0.0625049089272718,-0.0460727739883259,294,274,294,130,-0.0193635484803944,0.0141141531551658,-0.0343398556456496
