school_rbd,highinst_va,highpay_va,income_va,math_va,highinst_n,highpay_n,income_n,math_n,math_highinst_highpay_math_orth_va,math_highinst_highpay_highinst_orth_va,math_highinst_highpay_highpay_orth_va
200,0.0269288581169766,0.054480015415202,-0.0484486528703692,-0.238787732421577,447,437,447,194,-0.212078506913646,0.0894628729645135,0.0628264075479437
208,0.219812210761499,0.0434243045028128,0.0748797663129606,-0.185931088915432,396,386,396,362,-0.1592218634075,0.266757146069265,0.0427855581936151
211,0.131457120768009,0.0533737100265915,-0.0039814560029251,-0.0376833148830131,180,165,180,145,-0.0109740893750816,0.134679144674549,0.0496807378594455
217,0.0877068811068487,0.0189805810990107,0.0331281129787384,0.0135774214683157,923,875,923,807,0.0402866469762472,0.0758105084743576,0.0146960034127979
218,-0.0089292244412023,0.013613053125197,-0.054522161136417,-0.133873007898401,206,199,206,74,-0.10716378239047,0.0226621524142947,0.0188594277884656
219,0.0060612403158704,0.12251569276641,0.0088890371216103,-0.17470983023094,515,494,515,184,-0.148000604723009,0.0496966750090437,0.128932356787134
220,0.0082700757894953,0.175651336692827,0.102235712935525,-0.231891421027798,809,772,809,386,-0.205182195519867,0.0687701524276158,0.184367618205854
222,-0.0120555767513649,-0.0816165089872486,-0.176765123104157,-0.0379811443655369,83,78,83,6,-0.0112719188576054,-0.00874571360297438,-0.0802468588421822
227,-0.0025906674185029,-0.0018449041475199,-0.0125461323592074,,1,1,1,,,,
253,0.0785331142402276,0.033760571360317,0.0583518508469627,-0.17493832873146,219,211,219,186,-0.148229103223529,0.122235940297344,0.0376364358563441
254,0.133106508864351,0.0401039920360359,0.058399712940831,-0.13303678915623,155,147,155,132,-0.106327563648299,0.164451258623997,0.0403173353045054
255,-0.0096743880671188,-0.0697117404577549,-0.081920722352765,-0.218982535035345,192,174,192,138,-0.192273309527414,0.0470184538100054,-0.0609006816954206
256,0.141207058359861,0.0241863933491311,0.042263247049519,-0.0172861427588153,446,422,446,410,0.0094230827491162,0.138413317406236,0.0193022986155783
257,0.137899115915371,0.0004343909385148,0.0889359104636643,0.257939231512704,217,210,217,198,0.284648457020635,0.0539327925524386,-0.0157758984784189
270,0.148216179604563,-0.0367811061601572,-0.0023021102805227,0.0527522288809957,46,44,46,40,0.0794614543889272,0.124765929385417,-0.0448237257452638
279,0.0261082000219144,0.117749288000992,-0.0191855455345867,-0.216914791753545,1325,1285,1325,409,-0.190205566245614,0.0821911996474386,0.125215183249671
280,0.153423399503165,-0.0499292086856251,0.027612170245354,-0.130214268860257,758,726,758,398,-0.103505043352326,0.183935699631547,-0.0505481681557436
