cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,rho,n_students,mean_log_income_4to,mean_attended_va_eb,sd_log_income_4to,sd_attended_va_eb,n_students_with_income_and_rbd,va_match_rate_among_income_rbd
2015,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.081450363375964,197538,12.8645100377985,0.00524632672099448,0.692048686287422,0.0633594739628807,199483,0.990249795721941
2016,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.076977941881908,198203,12.8689236451443,0.00450366379216682,0.69515944578238,0.0625873216434905,199123,0.995379740160604
2017,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0751025507846674,184862,12.8931620455159,0.00395309929513691,0.701372887300865,0.0618338186529397,185256,0.997873213283241
2018,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0825159311747067,199338,12.8877015370357,0.00462098734362263,0.689570505248502,0.0625565389869006,199665,0.998362256780107
2019,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0846920644864563,200817,12.8885183453807,0.00470660791479011,0.687079371516774,0.0626643701834117,201100,0.998592739930383
2020,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0775027099341475,204562,12.8930435561618,0.00378488247918853,0.684727788775746,0.0610191110345892,204934,0.99818478144183
2017,direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,0.284605325855859,187342,12.7752301078596,-0.00365315806836634,0.927286928567674,0.0577383824306076,187754,0.99780563929397
2018,direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,0.270602829728657,201707,12.8185841496861,-0.00358315718126299,0.8941673780081,0.0576518241241763,202043,0.998336987670941
2019,direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,0.265495837289296,202891,12.8875733961991,-0.00329365509985413,0.878509488666935,0.0577628416735149,203184,0.998557957319474
2020,direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,0.25818889278623,206725,12.943214914017,-0.00358932209999871,0.856532675592598,0.0574974819389353,207113,0.998126626527548
2013,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.326545372160501,193936,12.8465220028957,-0.00346319338021682,0.685158738795693,0.0576308660041611,197202,0.98343830184278
2014,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.328093221312504,201271,12.8500162688025,-0.00393326759640383,0.685490458426795,0.0575406707365313,204007,0.986588695485939
2015,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.333691433536619,197538,12.8645100377985,-0.00364671575225396,0.692048686287422,0.057710171178926,199483,0.990249795721941
2016,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.334208849977874,198203,12.8689236451443,-0.00392067321629267,0.69515944578238,0.0574609960969746,199123,0.995379740160604
2017,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.342515599366841,184862,12.8931620455159,-0.00337824407327502,0.701372887300865,0.0577475049785445,185256,0.997873213283241
