outcome,feature,label,block,estimate,se,p,stars,schools,student_share,sample_schools
high_paying_field_m1,size_250_499,250--499 students,size,-0.031240924419649353,0.04065040208642543,0.442174260598838,,977,0.3677252528246756,3276
high_paying_field_m1,size_500_plus,500+ students,size,0.14994915513420357,0.06943719117311595,0.030811909843130526,**,466,0.3879896038175798,3276
log_program_income_clp_m1,intercept,"Intercept (omitted: Municipal, no tracks, 100--249 students)",base,-0.20065270890802867,0.04725946986130433,2.178466879602443e-05,***,84,0.012501621095145717,3276
log_program_income_clp_m1,admin_1,Corporaci\'on Municipal,admin,0.23962440319840056,0.07375412971559929,0.0011582673803942044,***,222,0.08837946065833664,3276
log_program_income_clp_m1,admin_3,Private subsidized,admin,0.19624284650671103,0.044763144439243605,1.1650517243243396e-05,***,1796,0.5283857068371839,3276
log_program_income_clp_m1,admin_4,Fully private,admin,1.1294062196583805,0.06502498150169986,1.4215585798389198e-67,***,476,0.10174125468794247,3276
log_program_income_clp_m1,admin_5,Delegated administration,admin,0.17401898209351035,0.1546660553705372,0.260535146903728,,70,0.044460353967779254,3276
log_program_income_clp_m1,admin_6,SLEP,admin,0.2996003619440624,0.07828594600820128,0.00012971420147826567,***,177,0.05328308158938783,3276
log_program_income_clp_m1,tp,Technical-professional,track,-0.3017544753527334,0.042298100450896936,9.749623347140085e-13,***,931,0.4081480873723967,3276
log_program_income_clp_m1,artistic,Artistic,track,0.434150991459398,0.6988122250727866,0.5344220639440579,,2,0.00045787666972800056,3276
log_program_income_clp_m1,size_under100,Fewer than 100 students,size,-0.1602698566295201,0.03983498318607394,5.7377496344157564e-05,***,628,0.03632973472266701,3276
log_program_income_clp_m1,size_250_499,250--499 students,size,0.002005725505176137,0.04068246725201136,0.9606786549790473,,977,0.3677252528246756,3276
log_program_income_clp_m1,size_500_plus,500+ students,size,0.05930588389233314,0.05673087849353744,0.29584283131865396,,466,0.3879896038175798,3276
admission_exam_taker,intercept,"Intercept (omitted: Municipal, no tracks, 100--249 students)",base,0.17419153091442946,0.04933389907507894,0.00041419695666516167,***,84,0.012466119654690995,3498
admission_exam_taker,admin_1,Corporaci\'on Municipal,admin,-0.18572936235487478,0.06813400984501779,0.006411825483896881,***,242,0.08847025787330397,3498
admission_exam_taker,admin_3,Private subsidized,admin,0.15237531766244533,0.044791368400734395,0.0006692151645012508,***,1936,0.5286481907169833,3498
admission_exam_taker,admin_4,Fully private,admin,0.5484472752375251,0.05142865054074868,1.4962337656033665e-26,***,480,0.10148136613997626,3498
admission_exam_taker,admin_5,Delegated administration,admin,-0.4935856868500424,0.08789920730390581,1.9615349679615386e-08,***,70,0.0443340978129198,3498
admission_exam_taker,admin_6,SLEP,admin,-0.12173618747983453,0.07806153881025098,0.11888045466902755,,196,0.053423399409353735,3498
admission_exam_taker,tp,Technical-professional,track,-0.7273684175378577,0.03898933096367706,1.1377007649698007e-77,***,932,0.40699168925356355,3498
admission_exam_taker,artistic,Artistic,track,0.23545084157938362,0.15133271803282083,0.11974402900046056,,2,0.00045657641584874426,3498
admission_exam_taker,size_under100,Fewer than 100 students,size,-0.8493625037984559,0.04449825598392943,3.2047516969144927e-81,***,850,0.03906631442543948,3498
