outcome,psu_score_bin,students,benefit_assignments,share,sample,se,lower,upper
Beca Nuevo Milenio,610,11418,1,8.75810124365038e-05,Whole grade-8 universe,8.75771771356573e-05,0,0.000259232279622392
Beca Nuevo Milenio,615,9529,2,0.000209885612341274,Whole grade-8 universe,0.000148395964219242,0,0.000500741702210988
Beca Nuevo Milenio,620,12410,3,0.00024174053182917,Whole grade-8 universe,0.000139552090368522,0,0.000515262628951473
Beca Nuevo Milenio,625,9232,1,0.000108318890814558,Whole grade-8 universe,0.000108313024164633,0,0.000320612418177238
Beca Nuevo Milenio,630,10893,2,0.000183604149453778,Whole grade-8 universe,0.000129815820129825,0,0.000438043156908235
Beca Nuevo Milenio,635,9084,1,0.000110083663584324,Whole grade-8 universe,0.000110077604211066,0,0.000325835767838013
Beca Nuevo Milenio,640,11726,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,645,8854,3,0.000338829907386492,Whole grade-8 universe,0.000195590393878602,0,0.000722187079388552
Beca Nuevo Milenio,650,9501,2,0.00021050415745711,Whole grade-8 universe,0.00014883324972337,0,0.000502217326914914
Beca Nuevo Milenio,655,8095,1,0.000123533045089561,Whole grade-8 universe,0.000123525414647287,0,0.000365642857798243
Beca Nuevo Milenio,660,8861,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,665,7267,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,670,8674,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,675,6260,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,680,8557,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,685,6983,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,690,7423,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,695,5792,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,700,7162,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,705,5493,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,710,6048,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,715,5421,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,720,5546,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,725,4787,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,730,5451,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,735,4643,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,740,5357,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,745,4110,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,750,4722,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,755,3316,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,760,5015,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,765,3128,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,770,3731,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,775,3650,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,780,3767,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,785,2554,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,790,3539,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,795,3061,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,800,3403,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,805,2169,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,810,3492,0,0,Whole grade-8 universe,0,0,0
