"","student_id","school_id","student_pref","priority_level","is_pie","orden_pie","academic_order_transition","loteria_original","is_prioritario","is_high_achv","school_id_actual","my_da_school_id","same_assignment"
"26",3973854,"613_131000000131_2018",3,4,0,NA,NA,29,0,0,"613_131000000131_2018","unmatched",0
"27",3986406,"10892_131000000131_2018",3,4,0,NA,NA,237,1,0,"10892_131000000131_2018","unmatched",0
"28",4402237,"22065_131000000133_2018",3,4,0,NA,NA,130,0,0,"22065_131000000133_2018","unmatched",0
"29",4890518,"40370_131000000133_2018",2,4,0,NA,NA,36,1,0,"40370_131000000133_2018","unmatched",0
"30",5393668,"20137_131000000133_2018",2,4,0,NA,NA,20,1,0,"20137_131000000133_2018","unmatched",0
"31",5806324,"40194_131000000133_2018",7,4,0,NA,NA,47,0,0,"40194_131000000133_2018","unmatched",0
"32",5858432,"13313_131000000133_2018",1,4,0,NA,NA,69,0,0,"13313_131000000133_2018","unmatched",0
"33",6196191,"8455_131000000113_2018",2,4,0,NA,NA,48,0,1,"8455_131000000113_2018","unmatched",0
"34",6205341,"132_131000000133_2018",2,4,0,NA,NA,40,0,0,"40320_131000000133_2018","unmatched",0
"35",6319892,"1801_131000000133_2018",3,4,0,NA,NA,82,0,1,"1801_131000000133_2018","unmatched",0
"36",6390769,"15554_131000000133_2018",2,4,0,NA,NA,12,0,0,"15554_131000000133_2018","unmatched",0
"37",6394772,"17876_131000000133_2018",2,4,0,NA,NA,40,0,0,"17876_131000000133_2018","unmatched",0
"38",7170984,"10892_131000000131_2018",1,4,0,NA,NA,358,0,0,"10892_131000000131_2018","unmatched",0
"39",7275066,"17860_131000000131_2018",4,4,0,NA,NA,15,0,0,"17860_131000000131_2018","unmatched",0
"40",7348114,"24338_131000000133_2018",3,4,1,NA,NA,12,0,0,"24338_131000000133_2018","unmatched",0
"41",7364509,"40251_131000000133_2018",2,4,0,NA,NA,28,1,0,"40251_131000000133_2018","unmatched",0
"42",7582318,"13305_131000000131_2018",8,4,0,NA,NA,1,0,0,"13305_131000000131_2018","unmatched",0
"43",7868459,"567_131000000133_2018",4,4,0,NA,NA,112,0,0,"567_131000000133_2018","unmatched",0
"44",7913748,"12853_131000000133_2018",5,4,0,NA,NA,19,0,0,"12853_131000000133_2018","unmatched",0
